Unnamed: 0,The below data set is the monthly rainfall data series for arunachal pradesh from the year 1916 to 2015,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
ARUNACHAL PRADESH,1916,48.1,69.8,71.1,316.1,424.6,1124.9,,629.7,333.9,,,,
ARUNACHAL PRADESH,1917,21.4,164.5,,269.6,107.9,823.8,909.1,628.4,411.5,199.3,63.5,0,
ARUNACHAL PRADESH,1918,10.4,11,191.2,144.6,861.1,1609.9,1303,692.6,515.8,125.2,7.8,13.7,5486.3
ARUNACHAL PRADESH,1919,34.5,67.8,28.5,256.9,420.6,973.6,999,286.7,628.7,948.3,40.7,8.6,4693.9
ARUNACHAL PRADESH,1920,14,196.3,605.6,364.7,173.6,840.6,535.4,896.5,376.7,103.3,0,0,4106.7
ARUNACHAL PRADESH,1921,78.9,54.3,180.3,358,598,1233.2,1433,885.9,603.4,246.3,4.6,15.5,5691.4
ARUNACHAL PRADESH,1922,50.7,59.4,170.4,299.5,350.5,1109.3,918.7,488.3,207.6,483.5,30.3,19,4187.2
ARUNACHAL PRADESH,1923,9.4,160.8,34,240.9,445.4,408.6,1278.5,251.3,617.3,50.1,8.4,2.8,3507.5
ARUNACHAL PRADESH,1924,85.7,45.1,74.1,162.4,515.7,1165,942.7,713.8,410.8,303.3,31.9,0,4450.5
ARUNACHAL PRADESH,1925,80.6,114,143.3,223,587.2,611.6,611,684.7,1222,153.2,5.1,4.1,4439.8
ARUNACHAL PRADESH,1926,38.1,40.8,179.1,249.7,248.1,675.2,978.7,445.6,286.9,311.5,18.6,49.3,3521.6
ARUNACHAL PRADESH,1927,48.3,208.5,88.1,384,164,1045.4,923.2,727.8,1108.9,537.2,17.8,0,5253.2
ARUNACHAL PRADESH,1928,48.9,39.7,118.2,123.4,431.9,1168.3,993.6,981.2,706.1,633.5,25.6,2.3,5272.7
ARUNACHAL PRADESH,1929,144.8,59.2,124.3,492.3,615.8,853,614.4,670,384.3,188,64.5,109.5,4320.2
ARUNACHAL PRADESH,1930,64.4,84.3,202.5,565.4,148.9,720.9,376.2,1055.5,637,361.1,93.2,24.9,4334.1
ARUNACHAL PRADESH,1931,61.3,189.7,231.6,502.7,277.7,1149.4,1399.9,337.7,480.7,157.4,37.8,46.2,4872.1
ARUNACHAL PRADESH,1932,70.2,110.3,105.5,282.7,661.6,1065.2,521.2,907.8,682.9,152.2,231.4,59.9,4850.9
ARUNACHAL PRADESH,1933,56,59.4,101.6,267.9,435.3,782.1,743.2,685.2,376.1,217.9,40.6,8.1,3773.3
ARUNACHAL PRADESH,1934,84.9,88.3,128.3,595.1,454.5,1024.6,935.9,640.9,382.6,141.6,77,21.9,4575.7
ARUNACHAL PRADESH,1935,18.1,143.6,169.7,211.2,299.9,1147.1,489.9,968.8,631.6,21.8,44.4,27.4,4173.7
ARUNACHAL PRADESH,1936,105.9,175.2,151.7,374.7,295.7,833.1,1132.8,668.4,584.3,216.5,122.8,127.6,4788.9
ARUNACHAL PRADESH,1937,19.9,105.6,91.2,261,399,456.4,611.6,816.9,339.7,239.8,16.7,17.3,3375.1
ARUNACHAL PRADESH,1938,144.8,121.6,340.5,395.3,306.5,1511.3,1355.1,790.8,877.3,220.6,59.7,5.6,6129
ARUNACHAL PRADESH,1939,13.6,140.5,112.7,388.1,314.6,1132.5,838.5,310.2,476.4,157.6,6.2,7.7,3898.7
ARUNACHAL PRADESH,1940,12.7,168.5,381.8,133.9,480.5,511,1067.9,340.5,791.4,154.6,12.4,44.3,4099.3
ARUNACHAL PRADESH,1941,37.4,101.7,157.9,245.4,652.4,518.1,935.9,729.2,687,89.7,19.6,45.9,4220.2
ARUNACHAL PRADESH,1942,15.8,164.9,277.8,272.4,618.9,1182.6,457.5,438.9,357.6,8.7,32.1,1.1,3828.2
ARUNACHAL PRADESH,1943,164.5,46.3,286.3,322.6,656.6,712.3,688.1,501,727.7,155.4,43,22.8,4326.7
ARUNACHAL PRADESH,1944,73.1,67,128.4,179.9,664.6,935.9,483.6,307.4,656.1,334.8,26,47.5,3904.3
ARUNACHAL PRADESH,1945,43.4,107.8,151.3,282.9,366,420.2,960,771.3,328.6,187.7,1.3,28.7,3649.3
ARUNACHAL PRADESH,1946,1.8,73.2,141.7,238.3,631.2,448.6,1212.2,478.7,540.4,215.9,25.4,3.8,4011.2
ARUNACHAL PRADESH,1947,37.8,68.5,158.6,460.2,494.4,650.2,1245,417.9,503.8,297.3,9.5,25.9,4369.1
ARUNACHAL PRADESH,1948,35.6,119.5,136.1,441.1,1168.6,889.5,2362.8,603.3,350.4,150.1,52.7,21.4,6331.1
ARUNACHAL PRADESH,1949,80.1,88.1,287.4,436.9,567.2,943.9,1002,672.6,482,224.9,39.6,50.1,4874.7
ARUNACHAL PRADESH,1950,38.6,92.8,205.8,425.2,274.2,,377.6,241.8,285.8,356,49.5,43.9,
ARUNACHAL PRADESH,1951,31.8,65.3,309.9,441,344.5,757.8,554.7,278.5,383.7,101.8,46.2,39.1,3354.2
ARUNACHAL PRADESH,1952,17.2,24.5,189.6,151.5,235.1,276.8,320.6,481.1,368.2,257.9,43.9,29.7,2396.1
ARUNACHAL PRADESH,1953,56.4,106.9,236,214.9,314.9,409.9,512.5,245.3,449.8,,10.4,23.4,
ARUNACHAL PRADESH,1957,,,,246.9,448.9,608.1,1219.4,542.6,505.8,146.6,17.1,40.6,
ARUNACHAL PRADESH,1958,98.4,67.5,32.9,138.5,698.6,511.2,457.7,1664.6,705.2,669.4,2.5,17,5063.5
ARUNACHAL PRADESH,1959,83.2,137.9,104.5,146.4,671.8,812.9,1137.7,333.2,508.8,247,12.1,0,4195.5
ARUNACHAL PRADESH,1960,8,26.8,53.2,137.1,210.7,653.9,1296.8,251.3,1034.8,13,13.4,10.4,3709.4
ARUNACHAL PRADESH,1961,50,204.2,289.6,181,492.3,595.5,738.3,547.9,256.2,260.5,57.1,3.9,3676.5
ARUNACHAL PRADESH,1962,37.2,87.1,45.1,250.3,601.9,1088.8,758.1,1405.9,222.4,255.6,,,
ARUNACHAL PRADESH,1963,14.6,35.2,168.6,262.6,346.4,755.4,817.4,1199.3,366.4,136.4,20,15.7,4138
ARUNACHAL PRADESH,1964,55.4,90.3,81.1,219.7,286.4,1432.8,1506.1,492.1,465.1,246.2,12.2,71.9,4959.3
ARUNACHAL PRADESH,1965,37.4,120.7,103.7,254.4,306.9,404.7,315.8,351.3,172.9,51.5,72.6,4.9,2196.8
ARUNACHAL PRADESH,1966,22.4,91.5,98.4,180.2,177.9,473.2,432.7,411.6,197.6,78.9,39,6.3,2209.6
ARUNACHAL PRADESH,1967,13.3,45.5,147.9,96.6,164,253.1,434.5,220.8,212.8,58.5,10,11.5,1668.5
ARUNACHAL PRADESH,1968,54.2,41.4,135.9,117.6,307.2,510.1,404.8,227.5,243.5,75.8,12.5,8.4,2139
ARUNACHAL PRADESH,1969,19.2,10,33.8,127,202.3,412.3,405.1,333.9,241.4,42.9,34.8,15.1,1877.7
ARUNACHAL PRADESH,1970,49.2,78.8,57.4,108.8,213.4,409.6,377.9,245.4,287.4,138.6,6.9,0,1973.4
ARUNACHAL PRADESH,1971,56,67.8,47.1,121.8,222.4,446,385.5,288.2,239.6,235.1,67.8,7.3,2184.5
ARUNACHAL PRADESH,1972,39.2,114.2,108.3,231.5,299.5,314.4,438.3,270.7,334.5,83.3,25.9,21.5,2281.3
ARUNACHAL PRADESH,1973,136.4,147.1,82.3,215.3,256.5,571.1,284.8,271.3,258.3,110.2,88.9,35.4,2457.5
ARUNACHAL PRADESH,1974,130.9,95.4,127.8,272.6,248.3,466.7,648.9,446.8,461.2,121.1,14,30.3,3063.9
ARUNACHAL PRADESH,1975,17.3,76.9,101.7,165.1,188,268.5,427,185.2,297,451.6,21.5,13.6,2213.3
ARUNACHAL PRADESH,1976,8.9,112.9,168,229.3,210.7,506.3,375.4,357.4,177.5,139.7,87.9,45.6,2419.5
ARUNACHAL PRADESH,1977,71.2,133.5,209.3,560.2,417.8,543.5,484.7,610.1,311.9,213.5,141,77.7,3774.3
ARUNACHAL PRADESH,1978,37.1,82.2,150.6,216.4,345.6,577.2,357.5,172.4,310.4,133,146.1,2.5,2531
